product_id,date,price,inventory,days_to_expiry,competitor_price,promo_flag,weather_score,units_sold
bread-loaf,2025-07-25,3.7,49,2,3.67,0,0.82,47
bread-loaf,2025-08-24,3.12,41,0,4.7,0,0.37,30
sushi-6pcs,2025-07-25,7.06,54,0,8.8,0,0.84,0
berries-250g,2025-08-19,7.62,35,2,8.35,0,0.48,32
sushi-6pcs,2025-08-19,6.63,36,0,8.43,0,0.55,7
yogurt-150g,2025-07-31,2.47,33,2,2.45,1,0.88,33
yogurt-150g,2025-07-29,2.62,67,5,3.86,0,0.12,50
yogurt-150g,2025-08-04,2.34,33,0,2.01,0,0.91,31
salad-bowl,2025-08-24,4.9,69,0,6.31,0,0.48,15
salad-bowl,2025-08-08,5.13,54,0,6.78,0,0.47,16
yogurt-150g,2025-08-08,2.05,100,1,3.7,0,0.28,42
yogurt-150g,2025-08-04,2.47,71,9,2.61,0,0.42,53
salad-bowl,2025-07-27,5.49,34,1,5.11,0,0.27,22
sushi-6pcs,2025-08-16,7.21,62,0,7.63,0,0.6,0
cut-fruit,2025-08-22,4.11,36,0,4.98,0,0.77,20
bread-loaf,2025-08-10,3.27,41,0,3.03,0,0.02,33
milk-1L,2025-07-26,6.64,47,6,5.9,0,0.82,47
bread-loaf,2025-08-24,3.43,71,2,3.09,0,0.41,54
sushi-6pcs,2025-08-02,6.86,14,0,8.71,0,0.56,6
sushi-6pcs,2025-08-14,6.93,74,0,7.63,0,0.31,6
sushi-6pcs,2025-07-28,6.67,110,0,7.52,0,0.57,2
milk-1L,2025-08-19,6.43,102,4,6.59,1,0.29,57
chicken-breast,2025-08-01,7.96,20,0,10.88,0,0.82,4
cut-fruit,2025-08-09,4.88,116,1,5.61,0,0.47,32
chicken-breast,2025-08-01,8.68,73,3,10.97,0,0.31,25
chicken-breast,2025-08-09,9.04,37,4,10.73,0,0.9,32
sushi-6pcs,2025-08-02,6.59,71,0,8.19,0,0.97,8
sushi-6pcs,2025-07-30,7.07,11,0,7.63,0,0.71,1
milk-1L,2025-08-20,5.25,99,0,6.49,0,0.34,33
yogurt-150g,2025-08-21,2.7,68,6,1.64,1,0.4,53
chicken-breast,2025-08-20,9.43,51,4,8.67,0,0.45,26
berries-250g,2025-07-25,8.49,68,3,8.43,0,0.98,35
yogurt-150g,2025-08-09,2.05,112,2,3.58,0,0.89,45
berries-250g,2025-08-02,7.65,57,2,8.49,0,0.73,29
bread-loaf,2025-08-24,3.08,64,1,4.49,0,0.87,46
milk-1L,2025-08-18,5.93,45,0,7.71,0,0.05,31
berries-250g,2025-08-16,7.96,108,3,9.31,0,0.53,34
berries-250g,2025-08-02,7.95,91,3,8.64,0,0.36,40
cut-fruit,2025-08-16,4.84,15,1,4.83,0,0.85,15
chicken-breast,2025-07-26,9.12,78,4,10.01,1,0.1,31
cut-fruit,2025-08-11,4.01,51,0,5.76,0,0.09,15
milk-1L,2025-07-28,6.24,27,6,7.82,0,0.13,27
bread-loaf,2025-08-23,3.56,62,1,2.77,0,0.37,44
berries-250g,2025-08-09,7.3,63,0,8.98,0,0.96,17
milk-1L,2025-07-28,5.53,14,1,5.58,0,0.29,14
chicken-breast,2025-08-11,8.25,115,1,9.47,0,0.63,6
chicken-breast,2025-08-23,7.92,66,0,8.65,1,0.74,7
yogurt-150g,2025-08-13,2.48,98,8,1.65,1,0.38,63
milk-1L,2025-08-15,5.59,24,1,7.32,0,1.0,24
bread-loaf,2025-07-30,3.11,14,0,3.03,0,0.42,14
berries-250g,2025-08-15,7.66,39,0,8.33,0,0.87,17
cut-fruit,2025-08-01,4.27,20,0,5.18,0,0.15,10
yogurt-150g,2025-08-03,2.23,87,0,3.97,0,0.8,31
sushi-6pcs,2025-08-16,6.7,96,0,7.17,0,0.28,3
bread-loaf,2025-08-02,2.75,59,0,4.0,0,0.48,34
bread-loaf,2025-08-11,3.29,106,2,2.71,1,0.39,54
salad-bowl,2025-08-15,4.94,12,1,6.59,0,0.46,12
cut-fruit,2025-07-29,4.45,48,0,5.6,0,0.48,16
yogurt-150g,2025-08-14,2.28,15,9,2.45,0,0.83,15
milk-1L,2025-08-22,5.4,21,1,7.71,0,0.34,21
milk-1L,2025-07-30,6.16,70,3,6.41,1,0.88,51
cut-fruit,2025-08-11,4.59,73,1,4.19,0,0.02,29
milk-1L,2025-07-28,6.29,38,3,7.12,0,0.5,38
sushi-6pcs,2025-08-22,7.3,31,0,9.38,0,0.75,2
chicken-breast,2025-08-19,8.9,110,3,8.86,0,0.41,20
chicken-breast,2025-08-24,7.81,82,0,9.69,0,0.39,0
salad-bowl,2025-08-22,5.07,27,0,5.22,0,0.68,12
milk-1L,2025-08-21,5.45,36,0,6.22,0,0.29,32
chicken-breast,2025-08-04,8.51,102,1,8.52,0,0.19,4
salad-bowl,2025-08-23,4.81,38,0,6.56,0,0.2,17
cut-fruit,2025-08-07,4.49,117,0,6.04,0,0.45,20
sushi-6pcs,2025-08-04,6.94,55,0,7.51,1,0.74,6
cut-fruit,2025-08-14,4.92,78,1,4.51,1,0.76,39
cut-fruit,2025-08-21,5.06,91,1,5.86,0,0.56,25
cut-fruit,2025-08-06,4.73,87,0,5.43,1,0.03,21
chicken-breast,2025-08-24,8.51,114,2,10.82,1,0.8,27
milk-1L,2025-08-23,6.29,23,3,5.74,0,0.27,23
berries-250g,2025-07-30,7.56,26,2,9.24,0,0.01,26
berries-250g,2025-07-31,8.19,20,3,8.98,0,0.63,20
sushi-6pcs,2025-08-09,7.22,36,0,7.72,1,0.1,5
cut-fruit,2025-08-19,4.25,84,0,4.56,0,0.77,13
yogurt-150g,2025-07-29,2.03,38,4,3.96,1,0.95,38
chicken-breast,2025-08-01,9.61,83,4,8.76,0,0.46,24
berries-250g,2025-07-26,8.18,110,3,8.41,1,0.37,40
berries-250g,2025-07-25,8.14,44,2,9.4,1,0.26,40
chicken-breast,2025-08-21,8.36,10,1,9.05,0,0.91,4
berries-250g,2025-08-11,8.4,36,3,9.33,0,0.16,36
salad-bowl,2025-08-20,4.57,93,0,6.57,0,0.74,17
sushi-6pcs,2025-08-15,7.26,52,0,7.5,0,0.02,1
yogurt-150g,2025-08-17,2.42,37,7,3.34,0,0.37,37
salad-bowl,2025-08-21,5.07,97,0,5.18,0,0.38,9
milk-1L,2025-08-13,6.2,119,2,7.51,0,0.14,39
sushi-6pcs,2025-07-30,6.63,80,0,8.08,0,0.08,3
bread-loaf,2025-07-27,3.18,22,1,2.58,0,0.25,22
milk-1L,2025-08-16,6.58,11,6,6.71,0,0.0,11
yogurt-150g,2025-08-09,2.15,78,7,3.59,1,0.52,63
berries-250g,2025-08-05,7.18,99,0,8.6,1,0.79,22
yogurt-150g,2025-08-03,2.2,95,0,2.16,0,0.94,35
chicken-breast,2025-08-18,8.69,58,1,9.77,0,0.19,12
cut-fruit,2025-07-30,5.0,82,1,4.33,0,0.99,25
yogurt-150g,2025-08-19,2.56,116,3,1.97,1,0.1,42
yogurt-150g,2025-08-04,2.7,37,4,2.35,0,0.97,37
bread-loaf,2025-07-25,3.49,49,2,4.22,0,0.2,49
sushi-6pcs,2025-08-22,7.24,63,0,7.22,0,0.3,0
salad-bowl,2025-08-14,5.33,53,1,5.17,1,0.27,34
bread-loaf,2025-08-10,3.33,89,1,4.24,0,0.98,41
milk-1L,2025-08-16,5.28,53,0,7.31,0,0.12,30
chicken-breast,2025-08-11,8.4,73,2,8.62,0,0.31,12
berries-250g,2025-07-27,7.55,29,1,8.42,0,0.18,21
chicken-breast,2025-08-22,8.84,82,3,9.63,0,0.15,24
chicken-breast,2025-07-28,8.68,77,3,10.68,0,0.34,18
milk-1L,2025-08-13,5.98,89,0,7.74,0,0.63,32
bread-loaf,2025-08-14,3.16,117,2,4.98,0,0.67,51
sushi-6pcs,2025-08-01,6.79,110,0,8.5,0,0.73,4
berries-250g,2025-08-01,7.63,114,2,8.23,0,0.27,28
cut-fruit,2025-08-20,4.21,119,0,5.33,0,0.97,22
sushi-6pcs,2025-07-31,6.93,71,0,8.14,0,0.88,0
yogurt-150g,2025-08-22,2.19,100,4,3.1,0,0.16,49
chicken-breast,2025-08-24,8.63,64,2,10.53,0,0.94,16
berries-250g,2025-08-15,8.23,119,3,8.43,0,0.9,34
berries-250g,2025-08-19,7.81,19,2,9.17,0,0.66,19
sushi-6pcs,2025-07-26,7.06,104,0,8.68,0,0.34,4
chicken-breast,2025-07-29,9.41,101,4,9.86,0,0.37,24
cut-fruit,2025-08-23,4.22,31,0,4.28,0,0.48,14
salad-bowl,2025-08-02,5.12,99,0,5.08,0,0.39,16
milk-1L,2025-08-13,5.62,59,0,7.7,1,0.49,39
salad-bowl,2025-08-15,5.48,91,1,6.44,0,0.91,31
cut-fruit,2025-07-30,4.7,85,1,4.08,0,0.67,25
berries-250g,2025-07-26,8.54,63,3,9.92,1,0.4,49
cut-fruit,2025-08-02,4.57,21,1,4.84,0,0.58,21
cut-fruit,2025-07-28,4.73,89,1,5.13,0,0.89,32
milk-1L,2025-07-27,6.62,118,5,8.0,0,0.25,49
chicken-breast,2025-07-25,9.39,50,3,9.82,0,0.2,21
berries-250g,2025-08-14,7.75,114,2,8.31,0,0.95,27
cut-fruit,2025-08-03,4.62,68,0,6.3,0,0.41,12
sushi-6pcs,2025-08-14,6.96,22,0,8.64,0,0.48,6
berries-250g,2025-08-08,7.25,84,1,9.77,1,0.61,34
milk-1L,2025-07-30,5.33,17,0,5.93,0,0.85,17
chicken-breast,2025-08-01,7.9,35,0,8.84,0,0.56,1
salad-bowl,2025-08-23,4.59,103,0,5.86,1,0.87,27
milk-1L,2025-08-09,6.54,117,5,5.59,0,0.46,48
salad-bowl,2025-07-26,5.04,17,1,4.88,0,0.7,17
salad-bowl,2025-08-15,4.55,35,0,5.36,0,0.42,13
sushi-6pcs,2025-08-10,6.78,29,0,8.65,0,0.38,2
sushi-6pcs,2025-08-11,6.58,81,0,8.88,0,0.96,2
berries-250g,2025-07-27,7.56,115,0,7.65,0,0.31,9
milk-1L,2025-08-05,5.95,111,1,6.86,0,0.95,36
milk-1L,2025-08-19,5.88,73,3,7.05,0,0.68,43
milk-1L,2025-07-25,6.54,110,4,7.87,1,0.48,55
berries-250g,2025-08-19,7.32,110,0,8.75,1,0.41,20
milk-1L,2025-08-16,5.94,103,2,5.87,0,0.12,42
yogurt-150g,2025-08-24,2.35,100,4,2.7,1,0.93,53
salad-bowl,2025-08-10,4.57,100,0,5.34,0,0.17,17
salad-bowl,2025-07-27,4.53,55,0,4.76,1,0.02,17
milk-1L,2025-08-20,6.54,117,4,6.2,0,0.37,49
sushi-6pcs,2025-08-12,7.0,41,0,7.23,0,0.1,0
chicken-breast,2025-08-20,9.25,73,3,10.96,0,0.77,21
sushi-6pcs,2025-08-14,6.52,55,0,7.22,0,0.85,3
bread-loaf,2025-08-22,3.22,88,2,4.56,0,0.68,49
cut-fruit,2025-08-19,4.49,67,0,5.66,0,0.36,12
cut-fruit,2025-08-10,5.01,27,1,5.42,0,0.59,27
milk-1L,2025-08-23,6.51,58,5,7.87,0,0.97,53
salad-bowl,2025-07-27,4.97,19,1,4.94,0,0.76,19
salad-bowl,2025-08-05,5.02,32,1,4.78,0,0.06,28
bread-loaf,2025-08-19,3.53,106,2,3.98,0,0.62,51
berries-250g,2025-07-25,7.36,50,0,9.78,0,0.7,21
milk-1L,2025-08-23,6.29,44,6,7.21,0,0.91,44
salad-bowl,2025-08-04,4.74,48,0,6.09,0,0.14,16
milk-1L,2025-08-11,6.03,110,2,6.72,0,0.18,39
berries-250g,2025-07-29,7.43,96,0,7.96,1,0.42,19
bread-loaf,2025-08-09,2.74,93,0,4.85,0,0.65,36
milk-1L,2025-08-12,6.23,58,5,5.53,0,0.28,52
berries-250g,2025-08-12,7.9,86,1,8.65,0,0.04,15
yogurt-150g,2025-08-17,2.52,94,2,3.27,0,0.91,34
salad-bowl,2025-08-12,5.53,92,1,5.18,0,0.8,29
sushi-6pcs,2025-08-12,6.68,44,0,8.04,0,0.51,7
cut-fruit,2025-08-10,4.86,31,1,6.17,1,0.6,31
sushi-6pcs,2025-08-12,6.57,10,0,8.1,0,0.96,7
milk-1L,2025-08-04,6.5,94,6,7.39,1,0.93,64
yogurt-150g,2025-07-30,2.78,107,5,2.95,0,0.35,39
berries-250g,2025-07-29,7.42,84,1,8.45,0,0.36,20
berries-250g,2025-08-10,7.45,58,0,8.85,0,0.74,13
sushi-6pcs,2025-08-09,7.29,118,0,8.62,0,0.62,2
milk-1L,2025-08-05,5.98,70,2,6.47,0,0.85,40
milk-1L,2025-08-09,5.81,117,4,5.78,0,0.65,50
yogurt-150g,2025-07-27,2.39,11,8,3.11,0,0.85,11
salad-bowl,2025-08-19,5.16,27,1,5.87,0,0.12,27
yogurt-150g,2025-08-17,2.28,96,2,2.82,0,0.72,34
bread-loaf,2025-08-13,3.29,80,2,4.21,0,0.35,56
salad-bowl,2025-08-18,4.96,89,1,6.22,0,0.19,29
berries-250g,2025-08-10,7.81,32,2,8.83,1,0.83,32
bread-loaf,2025-08-13,2.91,47,1,3.65,0,0.05,43
yogurt-150g,2025-08-11,2.34,118,2,3.63,1,0.98,43
salad-bowl,2025-08-12,5.41,24,1,5.24,0,0.77,24
salad-bowl,2025-08-20,5.29,77,1,6.91,0,0.87,30
cut-fruit,2025-08-14,3.99,28,0,5.65,0,0.93,18
berries-250g,2025-08-07,7.22,23,0,8.61,0,0.74,16
cut-fruit,2025-08-08,4.26,100,0,6.27,0,0.67,19
yogurt-150g,2025-08-06,2.27,82,2,3.82,0,0.52,41
cut-fruit,2025-08-19,5.01,74,1,4.19,0,0.47,29
milk-1L,2025-08-22,6.42,37,5,7.91,0,0.11,37
chicken-breast,2025-08-18,9.59,103,4,9.92,0,0.62,20
berries-250g,2025-08-22,7.26,13,1,9.48,1,0.79,13
milk-1L,2025-08-03,6.15,19,6,7.69,0,0.98,19
salad-bowl,2025-08-04,5.12,42,1,5.44,1,0.77,41
milk-1L,2025-08-23,6.32,108,6,7.93,0,0.72,59
yogurt-150g,2025-08-14,2.68,68,2,3.28,0,0.78,38
bread-loaf,2025-08-20,3.01,43,1,2.66,0,0.87,40
berries-250g,2025-07-31,8.29,84,2,8.81,0,0.64,33
sushi-6pcs,2025-07-29,6.58,49,0,7.92,0,0.67,8
yogurt-150g,2025-08-07,2.04,103,0,1.95,0,0.39,27
milk-1L,2025-08-05,5.43,117,1,5.75,0,0.34,38
salad-bowl,2025-08-18,5.13,63,0,4.86,0,0.04,13
chicken-breast,2025-07-30,8.67,51,2,9.55,0,0.56,18
yogurt-150g,2025-08-12,2.58,36,4,1.9,0,0.2,36
yogurt-150g,2025-08-13,2.26,93,8,2.56,0,0.94,59
salad-bowl,2025-08-18,4.82,33,0,5.83,0,0.03,13
berries-250g,2025-08-20,8.31,77,3,9.94,0,0.3,40
sushi-6pcs,2025-08-03,7.09,54,0,8.74,0,0.65,0
milk-1L,2025-08-09,6.58,113,4,6.66,0,0.78,46
chicken-breast,2025-08-22,8.82,120,3,10.17,0,0.69,26
milk-1L,2025-08-13,5.89,92,0,5.71,0,0.96,35
yogurt-150g,2025-08-16,2.56,20,0,2.38,1,0.59,20
bread-loaf,2025-07-30,2.69,49,0,4.62,0,0.09,30
cut-fruit,2025-08-07,4.59,14,1,5.45,0,0.63,14
salad-bowl,2025-07-31,4.94,76,1,6.41,0,0.68,27
berries-250g,2025-08-04,7.91,100,2,9.05,0,0.59,26
bread-loaf,2025-08-21,3.03,86,1,3.91,0,0.41,39
sushi-6pcs,2025-08-22,6.7,16,0,8.29,0,0.98,4
milk-1L,2025-08-17,5.68,94,3,7.96,0,0.16,47
milk-1L,2025-08-05,6.56,82,5,7.4,0,0.7,55
cut-fruit,2025-08-19,4.08,78,0,4.44,0,0.11,15
berries-250g,2025-08-16,7.69,100,0,7.5,0,0.03,8
salad-bowl,2025-07-31,5.08,28,1,4.93,0,0.9,27
chicken-breast,2025-08-16,8.94,35,4,9.56,0,0.64,23
cut-fruit,2025-08-12,4.83,91,1,4.87,0,0.1,21
bread-loaf,2025-08-15,3.1,95,2,4.0,0,0.78,53
milk-1L,2025-08-21,5.75,44,1,6.7,1,0.67,44
yogurt-150g,2025-08-11,2.45,39,3,2.48,0,0.98,39
chicken-breast,2025-08-20,8.27,70,1,9.09,0,0.87,7
cut-fruit,2025-08-18,4.87,101,1,4.41,0,0.11,28
bread-loaf,2025-08-14,3.41,36,0,4.98,0,0.27,29
berries-250g,2025-08-05,7.63,45,2,9.47,1,0.99,38
milk-1L,2025-07-27,5.27,76,0,5.77,0,0.67,34
yogurt-150g,2025-08-19,1.93,87,2,3.86,1,0.22,45
cut-fruit,2025-08-13,4.46,18,0,5.29,0,0.96,18
bread-loaf,2025-08-18,3.0,63,1,3.83,0,0.95,44
bread-loaf,2025-08-13,3.04,96,0,4.86,0,0.06,32
chicken-breast,2025-08-19,8.45,43,0,10.6,0,0.91,2
milk-1L,2025-07-27,5.76,116,1,7.56,0,0.17,39
yogurt-150g,2025-08-01,2.12,76,2,1.67,0,0.6,34
chicken-breast,2025-08-08,9.06,78,2,9.59,0,0.49,11
yogurt-150g,2025-08-02,2.13,33,0,1.66,0,0.99,33
chicken-breast,2025-08-13,8.94,27,4,9.62,0,0.2,23
yogurt-150g,2025-07-28,1.98,73,1,3.91,1,0.29,41
salad-bowl,2025-08-09,4.84,66,0,6.77,0,0.28,12
bread-loaf,2025-08-06,3.19,22,1,4.76,1,0.69,22
cut-fruit,2025-08-22,4.94,91,1,6.46,0,0.44,28
chicken-breast,2025-08-11,9.38,54,4,10.31,0,0.57,25
chicken-breast,2025-08-13,9.32,32,4,9.74,0,0.21,20
milk-1L,2025-08-06,5.65,110,0,6.35,0,0.51,37
sushi-6pcs,2025-08-08,7.27,78,0,8.03,1,0.57,9
sushi-6pcs,2025-08-01,6.77,37,0,9.05,0,0.23,8
milk-1L,2025-08-02,5.81,47,2,6.5,1,0.61,46
yogurt-150g,2025-08-13,2.31,67,7,1.76,0,0.33,51
chicken-breast,2025-08-15,9.15,19,4,10.05,1,0.94,19
berries-250g,2025-08-13,7.51,20,0,9.84,1,0.49,20
sushi-6pcs,2025-08-19,6.9,50,0,9.22,0,0.89,5
yogurt-150g,2025-08-13,2.48,71,0,3.32,1,0.98,37
milk-1L,2025-08-12,5.88,65,3,5.51,1,0.15,49
yogurt-150g,2025-08-10,2.72,80,9,3.87,0,0.02,61
cut-fruit,2025-08-13,4.82,67,1,5.47,0,0.45,24
yogurt-150g,2025-07-28,2.69,93,7,3.01,0,0.91,50
berries-250g,2025-08-02,7.68,106,1,8.38,0,0.42,22
chicken-breast,2025-08-19,9.13,65,2,9.04,0,0.04,15
cut-fruit,2025-08-08,4.62,112,0,6.35,0,0.09,12
chicken-breast,2025-08-12,9.0,81,2,10.41,0,0.6,17
milk-1L,2025-07-25,6.4,12,3,7.78,0,0.72,12
yogurt-150g,2025-08-14,2.64,31,9,3.56,0,0.22,31
milk-1L,2025-07-29,6.52,110,6,5.69,0,0.52,60
berries-250g,2025-07-31,7.35,108,0,8.12,0,0.88,20
cut-fruit,2025-08-13,4.62,58,1,4.32,0,0.27,24
bread-loaf,2025-07-31,3.77,23,2,2.85,0,0.31,23
salad-bowl,2025-08-23,4.74,68,0,4.7,0,0.64,13
milk-1L,2025-08-02,6.55,20,4,6.47,0,0.88,20
chicken-breast,2025-08-15,9.66,27,4,9.44,0,0.57,26
sushi-6pcs,2025-07-27,6.77,24,0,9.45,0,0.48,10
sushi-6pcs,2025-08-04,6.77,112,0,8.12,1,0.98,10
sushi-6pcs,2025-07-26,6.77,101,0,7.49,1,0.52,9
yogurt-150g,2025-08-16,2.72,105,5,3.48,0,0.6,48
chicken-breast,2025-08-17,8.71,33,1,9.29,0,0.21,2
bread-loaf,2025-07-30,3.55,78,1,3.84,0,0.39,45
cut-fruit,2025-07-29,4.43,44,0,4.35,0,0.66,9
cut-fruit,2025-08-15,4.4,57,0,4.19,1,0.56,17
yogurt-150g,2025-08-11,2.79,79,8,1.61,0,0.85,56
sushi-6pcs,2025-08-21,7.11,67,0,9.08,0,0.83,7
cut-fruit,2025-08-17,4.3,56,0,5.38,0,0.74,16
salad-bowl,2025-08-15,4.86,69,0,5.59,0,0.24,17
berries-250g,2025-08-01,7.36,28,0,7.92,0,0.03,9
salad-bowl,2025-08-11,5.44,90,1,6.31,0,0.52,28
cut-fruit,2025-07-26,4.48,74,0,5.19,1,0.36,17
berries-250g,2025-08-21,8.1,87,3,7.66,0,0.26,31
milk-1L,2025-08-19,6.39,42,5,5.68,0,0.51,42
cut-fruit,2025-07-25,4.95,48,1,4.73,0,0.74,29
cut-fruit,2025-08-13,5.05,13,1,5.99,0,0.5,13
chicken-breast,2025-08-05,8.64,47,2,9.45,0,0.83,18
chicken-breast,2025-07-25,8.05,24,0,9.49,0,0.95,2
chicken-breast,2025-08-18,8.18,26,1,9.12,0,0.63,11
milk-1L,2025-08-05,6.5,91,4,6.41,0,0.64,48
yogurt-150g,2025-08-02,2.48,63,4,3.12,0,0.25,48
yogurt-150g,2025-08-10,2.15,57,2,2.21,0,0.18,40
sushi-6pcs,2025-08-19,6.53,82,0,9.11,0,0.66,10
milk-1L,2025-08-15,6.71,58,5,7.54,0,0.92,52
berries-250g,2025-08-19,8.03,108,3,9.09,1,0.7,50
sushi-6pcs,2025-07-27,6.67,23,0,7.7,0,0.55,0
milk-1L,2025-08-11,5.84,38,4,6.79,0,0.4,38
salad-bowl,2025-08-22,5.55,94,1,6.98,0,0.17,34
yogurt-150g,2025-07-27,2.68,91,4,3.57,0,0.11,43
berries-250g,2025-08-14,7.69,39,1,7.86,0,0.49,25
salad-bowl,2025-07-28,5.5,97,1,6.13,0,0.61,30
bread-loaf,2025-08-19,3.16,95,0,3.59,0,0.91,30
cut-fruit,2025-08-17,4.58,20,0,6.22,1,0.49,20
bread-loaf,2025-08-19,3.72,49,2,3.56,0,0.95,49
sushi-6pcs,2025-08-06,7.02,74,0,7.36,0,0.86,0
salad-bowl,2025-08-14,5.37,27,1,5.62,0,0.34,25
cut-fruit,2025-08-15,3.98,118,0,4.62,0,0.72,10
milk-1L,2025-08-17,5.81,36,2,6.72,1,0.71,36
berries-250g,2025-08-13,7.08,85,0,9.33,0,0.52,19
berries-250g,2025-08-11,8.21,98,3,9.39,0,0.07,32
milk-1L,2025-08-24,5.76,24,3,6.42,0,0.9,24
berries-250g,2025-08-17,7.32,41,0,8.49,0,0.61,15
milk-1L,2025-08-19,5.69,92,3,6.0,0,0.26,48
yogurt-150g,2025-07-30,2.18,12,3,1.62,1,0.58,12
bread-loaf,2025-08-23,3.46,96,0,3.89,0,0.71,32
cut-fruit,2025-07-31,4.49,100,0,4.39,0,0.54,9
yogurt-150g,2025-08-18,2.11,20,3,2.31,0,0.58,20
berries-250g,2025-07-28,7.38,104,0,8.28,1,0.76,19
chicken-breast,2025-08-05,9.17,69,3,9.3,0,0.64,20
chicken-breast,2025-08-12,8.65,85,1,10.36,0,0.79,9
milk-1L,2025-08-18,5.94,77,4,6.14,0,0.58,51
berries-250g,2025-08-22,7.5,32,1,8.54,0,0.31,24
bread-loaf,2025-08-21,3.25,32,2,4.5,0,0.02,32
cut-fruit,2025-08-05,4.71,107,1,4.22,0,0.61,32
berries-250g,2025-07-30,8.17,35,3,8.68,0,0.98,35
salad-bowl,2025-08-06,4.48,111,0,4.84,0,0.04,7
cut-fruit,2025-08-16,4.5,97,0,5.45,1,0.16,21
berries-250g,2025-07-25,7.47,107,1,9.84,0,0.15,22
salad-bowl,2025-07-30,5.0,24,1,4.92,0,0.86,24
chicken-breast,2025-08-19,8.11,15,1,9.76,0,0.62,10
bread-loaf,2025-08-08,3.29,22,1,4.15,0,0.17,22
bread-loaf,2025-08-14,2.97,33,0,3.93,0,0.32,32
milk-1L,2025-08-17,6.39,37,3,6.57,0,0.52,37
salad-bowl,2025-08-02,5.01,120,0,5.76,0,0.08,9
chicken-breast,2025-08-19,8.72,15,1,8.92,0,0.87,4
salad-bowl,2025-08-15,5.28,36,1,6.01,0,0.92,36
bread-loaf,2025-08-14,3.34,102,2,4.93,0,0.95,56
bread-loaf,2025-07-27,3.41,36,1,3.93,0,0.53,36
chicken-breast,2025-08-22,8.67,119,2,8.97,0,0.92,17
sushi-6pcs,2025-08-16,7.0,71,0,7.7,0,0.22,5
bread-loaf,2025-08-03,3.29,117,1,3.21,0,0.34,35
sushi-6pcs,2025-07-28,6.54,70,0,8.85,0,0.23,10
berries-250g,2025-07-28,7.45,29,1,9.94,0,0.69,24
